Date,Open,High,Low,Close,Adj Close,Volume
08-08-2018,1256.719971,1271.719971,1252.119995,1261.329956,1261.329956,1717200
09-08-2018,1262.72998,1271.959961,1260.099976,1264.459961,1264.459961,1366300
10-08-2018,1259.180054,1261.199951,1247.160034,1252.51001,1252.51001,1330100
13-08-2018,1251.199951,1265.969971,1247.030029,1248.640015,1248.640015,1375000
14-08-2018,1252.5,1260.589966,1239.540039,1258.140015,1258.140015,1404000
15-08-2018,1244.280029,1251.97998,1226.23999,1232.219971,1232.219971,1852600
16-08-2018,1241.98999,1243.699951,1219.630005,1224.060059,1224.060059,1608800
17-08-2018,1222.040039,1226.949951,1204,1215.849976,1215.849976,1654600
20-08-2018,1220.660034,1225.910034,1208.699951,1221.949951,1221.949951,1110900
21-08-2018,1223.02002,1232.76001,1215.030029,1217.410034,1217.410034,1154100
22-08-2018,1214.219971,1226.530029,1213.219971,1221.75,1221.75,1114800
23-08-2018,1219.880005,1235.170044,1219.349976,1221.160034,1221.160034,1233300
24-08-2018,1226,1237.400024,1221.420044,1236.75,1236.75,1222700
27-08-2018,1244.140015,1257.869995,1240.680054,1256.27002,1256.27002,1429000
28-08-2018,1255.900024,1256.560059,1242.969971,1245.859985,1245.859985,1366500
29-08-2018,1255,1267.170044,1252.800049,1264.650024,1264.650024,1846300
30-08-2018,1263.400024,1269.48999,1247.209961,1254.439941,1254.439941,1505200
31-08-2018,1252.209961,1252.550049,1225.75,1231.800049,1231.800049,2115400
04-09-2018,1222.52002,1227.869995,1206.560059,1211.310059,1211.310059,2072900
05-09-2018,1209.219971,1214.869995,1175.339966,1199.099976,1199.099976,2699400
06-09-2018,1198.569946,1198.98999,1163.609985,1183.98999,1183.98999,2342700
07-09-2018,1172,1188.550049,1169.27002,1177.589966,1177.589966,1632900
10-09-2018,1184.199951,1186.660034,1170.609985,1175.060059,1175.060059,1383500
11-09-2018,1171.099976,1190.939941,1165.949951,1189.98999,1189.98999,1462700
12-09-2018,1182,1190.689941,1166.160034,1171.599976,1171.599976,1785800
13-09-2018,1179.699951,1187.859985,1169.219971,1182.140015,1182.140015,2003400
14-09-2018,1188,1188,1173.52002,1177.97998,1177.97998,1208800
17-09-2018,1177.77002,1181.819946,1158.459961,1159.829956,1159.829956,1704800
18-09-2018,1162.660034,1181.329956,1161.430054,1167.109985,1167.109985,1615700
19-09-2018,1168.959961,1176.27002,1158.619995,1174.27002,1174.27002,1298100
20-09-2018,1180.670044,1194,1176.25,1191.569946,1191.569946,1462200
21-09-2018,1194.920044,1196.579956,1172.060059,1172.119995,1172.119995,4561100
24-09-2018,1159.410034,1185.189941,1151.5,1179.560059,1179.560059,1557500
25-09-2018,1184.25,1196.859985,1174.089966,1193.890015,1193.890015,1657600
26-09-2018,1193.689941,1207.23999,1185.400024,1194.060059,1194.060059,1882500
27-09-2018,1200,1216.859985,1198.050049,1207.359985,1207.359985,1813700
28-09-2018,1204.089966,1208.449951,1197.829956,1207.079956,1207.079956,1780600
01-10-2018,1213,1224.199951,1203.189941,1208.530029,1208.530029,1658200
02-10-2018,1206.670044,1224.52002,1199.660034,1207.640015,1207.640015,2009000
03-10-2018,1212,1214.180054,1202.150024,1211.530029,1211.530029,1312300
04-10-2018,1205.030029,1205.900024,1163.849976,1177.069946,1177.069946,2328800
05-10-2018,1176,1182,1154.319946,1167.829956,1167.829956,1592600
08-10-2018,1160,1175.859985,1135.400024,1155.920044,1155.920044,2309500
09-10-2018,1151.310059,1161.550049,1144.170044,1145.170044,1145.170044,1684500
10-10-2018,1136.400024,1137.02002,1091.51001,1092.160034,1092.160034,2949000
11-10-2018,1079.040039,1116.060059,1075.890015,1090.73999,1090.73999,3384800
12-10-2018,1119.640015,1125.829956,1095.030029,1120.540039,1120.540039,2468500
15-10-2018,1118,1121.800049,1098.219971,1102.439941,1102.439941,1503700
16-10-2018,1113.47998,1136.369995,1111.75,1133.079956,1133.079956,1918900
17-10-2018,1140,1147,1114,1127.589966,1127.589966,1782600
18-10-2018,1130,1132.349976,1086.339966,1097.910034,1097.910034,2307600
19-10-2018,1103.709961,1120.949951,1097.030029,1105.180054,1105.180054,2064300
22-10-2018,1112.51001,1121.689941,1100,1111.369995,1111.369995,1355800
23-10-2018,1091.290039,1118,1079.01001,1114.910034,1114.910034,1884300
24-10-2018,1115,1116.619995,1055.060059,1057.119995,1057.119995,2464300
25-10-2018,1080.300049,1117.819946,1075.550049,1103.589966,1103.589966,3647800
26-10-2018,1048.329956,1117,1042.22998,1083.75,1083.75,5321900
29-10-2018,1096.540039,1108.829956,1007.200012,1034.72998,1034.72998,4064500
30-10-2018,1020.01001,1050.900024,1013.969971,1049.51001,1049.51001,2988400
31-10-2018,1068.199951,1108,1068.199951,1090.579956,1090.579956,3545800
01-11-2018,1091.400024,1099.900024,1077.819946,1085.97998,1085.97998,2006600
02-11-2018,1089,1098,1067.660034,1071.48999,1071.48999,2171900
05-11-2018,1072.530029,1073.349976,1034,1055.72998,1055.72998,2267900
06-11-2018,1055.02002,1079.819946,1053.609985,1069.569946,1069.569946,1433000
07-11-2018,1083.48999,1109.930054,1080.589966,1108.23999,1108.23999,2169400
08-11-2018,1107.300049,1108.219971,1084.359985,1094.630005,1094.630005,1684700
09-11-2018,1084.02002,1088.349976,1064.26001,1077.02002,1077.02002,1743000
12-11-2018,1073.130005,1074.099976,1040.349976,1049.359985,1049.359985,1700100
13-11-2018,1054.810059,1066.670044,1040.400024,1047.969971,1047.969971,1287500
14-11-2018,1060,1065.790039,1041.109985,1054.579956,1054.579956,1733300
15-11-2018,1051.459961,1078.869995,1041.290039,1071.050049,1071.050049,2079200
16-11-2018,1065.22998,1072.439941,1054.900024,1068.27002,1068.27002,1768300
19-11-2018,1063.390015,1068,1022.869995,1027.420044,1027.420044,2284200
20-11-2018,1007.289978,1037.349976,1002.210022,1030.449951,1030.449951,2722900
21-11-2018,1045.310059,1054.709961,1039.459961,1043.430054,1043.430054,1484900
23-11-2018,1033.5,1043,1028.52002,1030.099976,1030.099976,708900
26-11-2018,1044,1057,1039.77002,1055.939941,1055.939941,1577900
27-11-2018,1051.339966,1066.76001,1045.5,1052.280029,1052.280029,1652400
28-11-2018,1057.459961,1092.859985,1042.949951,1091.790039,1091.790039,2302100
29-11-2018,1083.530029,1100.150024,1082,1094.579956,1094.579956,1550200
30-11-2018,1095.630005,1109.650024,1083.180054,1109.650024,1109.650024,2983400
03-12-2018,1132.160034,1135,1111.72998,1116.359985,1116.359985,2876600
04-12-2018,1112.98999,1114.23999,1060.780029,1062.469971,1062.469971,2281500
06-12-2018,1045,1079.420044,1042.47998,1078.079956,1078.079956,2371800
07-12-2018,1072.22998,1085.030029,1039.369995,1046.579956,1046.579956,2134100
10-12-2018,1042.939941,1059.599976,1033,1053.180054,1053.180054,1682600
11-12-2018,1066.939941,1070.400024,1050.099976,1061.650024,1061.650024,1692600
12-12-2018,1077.079956,1091.72998,1071.969971,1073.72998,1073.72998,1448000
13-12-2018,1075.670044,1088.420044,1064.98999,1073.540039,1073.540039,1249300
14-12-2018,1060.02002,1071.719971,1049.369995,1051.709961,1051.709961,1817900
17-12-2018,1047.01001,1062.380005,1016.630005,1025.650024,1025.650024,2496600
18-12-2018,1034,1059.689941,1030.47998,1043.410034,1043.410034,2182000
19-12-2018,1047.290039,1075.709961,1019.429993,1035.459961,1035.459961,2913200
20-12-2018,1026,1047.439941,1007.859985,1023.580017,1023.580017,2683700
21-12-2018,1032.040039,1037.670044,981.190002,991.25,991.25,5232800
24-12-2018,984.320007,1012.119995,977.659973,984.669983,984.669983,1818000
26-12-2018,997.98999,1048.449951,992.650024,1047.849976,1047.849976,2315900
27-12-2018,1026.199951,1053.339966,1007,1052.900024,1052.900024,2299800
28-12-2018,1059.5,1064.22998,1042,1046.680054,1046.680054,1719900
31-12-2018,1057.829956,1062.98999,1033.040039,1044.959961,1044.959961,1655500
02-01-2019,1027.199951,1060.790039,1025.280029,1054.680054,1054.680054,1593400
03-01-2019,1050.670044,1066.26001,1022.369995,1025.469971,1025.469971,2098000
04-01-2019,1042.560059,1080,1036.859985,1078.069946,1078.069946,2301100
07-01-2019,1080.969971,1082.699951,1062.640015,1075.920044,1075.920044,2372300
08-01-2019,1086,1093.349976,1068.349976,1085.369995,1085.369995,1770700
09-01-2019,1087.98999,1091.640015,1074.369995,1081.650024,1081.650024,1349900
10-01-2019,1074.939941,1079.810059,1064.680054,1078.829956,1078.829956,1329900
11-01-2019,1069.900024,1073.369995,1056.430054,1064.469971,1064.469971,1543200
14-01-2019,1053.339966,1058.449951,1048.550049,1051.51001,1051.51001,1424500
15-01-2019,1058.01001,1088.27002,1054.439941,1086.51001,1086.51001,1875900
16-01-2019,1090,1102.359985,1088.01001,1089.51001,1089.51001,1914000
17-01-2019,1087.98999,1100.699951,1083.26001,1099.119995,1099.119995,1244800
18-01-2019,1108.589966,1118,1099.280029,1107.300049,1107.300049,2244600
22-01-2019,1096,1098.969971,1070.890015,1078.630005,1078.630005,1981600
23-01-2019,1086.859985,1092.949951,1067.569946,1084.410034,1084.410034,1259700
24-01-2019,1082.51001,1088,1070.02002,1084,1084,1455700
25-01-2019,1094.22998,1103.359985,1091.800049,1101.51001,1101.51001,1163000
28-01-2019,1090.069946,1093.369995,1074.609985,1079.859985,1079.859985,1466700
29-01-2019,1081.040039,1084.72998,1066.02002,1070.060059,1070.060059,985200
30-01-2019,1077.359985,1099.52002,1076.640015,1097.98999,1097.98999,1472600
31-01-2019,1112.23999,1127.670044,1105.25,1125.890015,1125.890015,2011600
01-02-2019,1122.290039,1134.400024,1114.25,1118.619995,1118.619995,1655800
04-02-2019,1119.01001,1142.339966,1117.51001,1141.420044,1141.420044,3920400
05-02-2019,1129.630005,1152.77002,1123.599976,1151.869995,1151.869995,4114800
06-02-2019,1149.27002,1154,1118.359985,1122.890015,1122.890015,2412800
07-02-2019,1111.819946,1111.98999,1093.589966,1105.910034,1105.910034,1914900
08-02-2019,1094.880005,1105.099976,1094.23999,1102.380005,1102.380005,1088300
11-02-2019,1103.75,1113.430054,1100,1102.119995,1102.119995,924900
12-02-2019,1111.01001,1132.859985,1111.01001,1127.579956,1127.579956,1751800
13-02-2019,1133.040039,1142.849976,1126,1128.630005,1128.630005,1402100
14-02-2019,1125,1136.130005,1117.089966,1129.199951,1129.199951,1055300
15-02-2019,1139.300049,1139.300049,1116.719971,1119.630005,1119.630005,1391300
19-02-2019,1116.640015,1129.640015,1116.640015,1126.51001,1126.51001,1099000
20-02-2019,1128.880005,1130.930054,1111.75,1120.589966,1120.589966,1204500
21-02-2019,1118.780029,1119.150024,1097.97998,1104.209961,1104.209961,1663600
22-02-2019,1109.699951,1117.25,1100.5,1116.560059,1116.560059,1471800
25-02-2019,1121.930054,1125.400024,1114.109985,1117.329956,1117.329956,1310400
26-02-2019,1114.369995,1126.439941,1106.699951,1122.01001,1122.01001,1751300
27-02-2019,1114.01001,1125.72998,1108.560059,1122.890015,1122.890015,1104600
28-02-2019,1119,1133.98999,1118.410034,1126.550049,1126.550049,1371100
01-03-2019,1131,1150,1131,1148.52002,1148.52002,1704300
04-03-2019,1154.560059,1165.52002,1138.25,1153.420044,1153.420044,1774500
05-03-2019,1156,1176.48999,1153.02002,1169.189941,1169.189941,2004700
06-03-2019,1171.76001,1174.73999,1163.050049,1164.939941,1164.939941,1180100
07-03-2019,1160.5,1163.579956,1141.709961,1150.849976,1150.849976,1504300
08-03-2019,1133.900024,1153.449951,1130.199951,1149.969971,1149.969971,1184700
11-03-2019,1152,1179.910034,1151.569946,1179.26001,1179.26001,1501600
12-03-2019,1182.300049,1205.709961,1182.300049,1197.25,1197.25,2111000
13-03-2019,1205.930054,1207.119995,1197.910034,1199.060059,1199.060059,1294400
14-03-2019,1199.02002,1204.699951,1191.22998,1192.530029,1192.530029,1365100
15-03-2019,1198,1201.719971,1187.01001,1190.300049,1190.300049,2594300
18-03-2019,1189.689941,1194.949951,1181.47998,1188.550049,1188.550049,1222100
19-03-2019,1191.719971,1203.410034,1189.459961,1202.459961,1202.459961,1489400
20-03-2019,1201.400024,1229.98999,1199.589966,1226.430054,1226.430054,2075400
21-03-2019,1220,1236.439941,1216.579956,1236.130005,1236.130005,1407500
22-03-2019,1228.849976,1233.630005,1206,1207.650024,1207.650024,1721100
25-03-2019,1199.560059,1209.439941,1190,1197.380005,1197.380005,1378800
26-03-2019,1205.189941,1207.650024,1181.76001,1189.839966,1189.839966,1537600
